中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,71 ms,254 Mbps,32563 kB/s
198.46.188.190,443,2a09:bac5:a5fe:7cd::c7:12,US,Buffalo,隧道,17 ms,86 Mbps,11059 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,87 ms,75 Mbps,9620 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,287 Mbps,36761 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,69 ms,339 Mbps,43417 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,77 ms,34 Mbps,4362 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,562 Mbps,71987 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,34 ms,745 Mbps,95436 kB/s
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,70 ms,321 Mbps,41164 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,93 ms,310 Mbps,39731 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,65 ms,36 Mbps,4724 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,264 Mbps,33894 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,52 ms,425 Mbps,54476 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,73 ms,268 Mbps,34406 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,72 ms,340 Mbps,43520 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,95 Mbps,12185 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,77 ms,296 Mbps,37888 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,37 ms,363 Mbps,46489 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,107 ms,284 Mbps,36454 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,85 ms,247 Mbps,31641 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,155 ms,121 Mbps,15564 kB/s
